10,0001111115,45661513,5313510000111111,5456,6151353,135
22,2222222222,22222222,2222222222222222,2222,2222222,222
33,3333333333,33333333,3333333333333333,3333,3333333,333
44,4444444444,44444444,4444444444444444,4444,4444444,444
41,5555555555,55555555,5555555555555555,5555,5555555,555
66,6666666666,66666666,6666666666666666,6666,6666666,666
10,0001111115,45661513,5313510000111111,5456,6151353,135
22,2222222222,22222222,2222222222222222,2222,2222222,222
33,3333333333,33333333,3333333333333333,3333,3333333,333
44,4444444444,44444444,4444444444444444,4444,4444444,444
41,5555555555,55555555,5555555555555555,5555,5555555,555
66,6666666666,66666666,6666666666666666,6666,6666666,666
10,0001111115,45661513,5313510000111111,5456,6151353,135
22,2222222222,22222222,2222222222222222,2222,2222222,222
33,3333333333,33333333,3333333333333333,3333,3333333,333
44,4444444444,44444444,4444444444444444,4444,4444444,444
41,5555555555,55555555,5555555555555555,5555,5555555,555
66,6666666666,66666666,6666666666666666,6666,6666666,666
10,0001111115,45661513,5313510000111111,5456,6151353,135
22,2222222222,22222222,2222222222222222,2222,2222222,222
33,3333333333,33333333,3333333333333333,3333,3333333,333
44,4444444444,44444444,4444444444444444,4444,4444444,444
41,5555555555,55555555,5555555555555555,5555,5555555,555
66,6666666666,66666666,6666666666666666,6666,6666666,666
